key_code,time,true,pred
5339560312,0,1,0
5339560314,0,234,203.247989276139410178900
5339560321,0,220,155.424932975871313662720
5339560322,0,328,406.495978552278820357800
5339560323,0,658,789.080428954423592487240
5339560324,0,877,741.257372654155495971060
5339560331,0,58,0
5339560332,0,362,203.247989276139410178900
5339560334,0,98,75.719839142091152802420
5339560341,0,849,1048.121983914209115298080
5339560342,0,551,434.392761394101876703500
5339560343,0,243,310.849865951742627325440
5339560344,0,265,163.395442359249329778480
5339560411,0,20,23.911528150134048228360
5339560413,0,451,625.684986595174262708760
5339560431,0,572,605.758713136729222538280
5339560433,0,159,159.410187667560321720600
5339560312,6,1,0
5339560314,6,234,203.247989276139410178900
5339560321,6,220,155.424932975871313662720
5339560322,6,328,406.495978552278820357800
5339560323,6,658,789.080428954423592487240
5339560324,6,877,741.257372654155495971060
5339560331,6,58,0
5339560332,6,362,203.247989276139410178900
5339560334,6,98,75.719839142091152802420
5339560341,6,849,1048.121983914209115298080
5339560342,6,551,434.392761394101876703500
5339560343,6,243,310.849865951742627325440
5339560344,6,265,163.395442359249329778480
5339560411,6,20,23.911528150134048228360
5339560413,6,451,625.684986595174262708760
5339560431,6,572,605.758713136729222538280
5339560433,6,159,159.410187667560321720600
5339560312,12,1,0
5339560314,12,235,203.247989276139410178900
5339560321,12,220,155.424932975871313662720
5339560322,12,328,406.495978552278820357800
5339560323,12,657,789.080428954423592487240
5339560324,12,877,741.257372654155495971060
5339560331,12,58,0
5339560332,12,362,203.247989276139410178900
5339560334,12,98,75.719839142091152802420
5339560341,12,849,1048.121983914209115298080
5339560342,12,551,434.392761394101876703500
5339560343,12,243,310.849865951742627325440
5339560344,12,265,163.395442359249329778480
5339560411,12,20,23.911528150134048228360
5339560413,12,451,625.684986595174262708760
5339560431,12,572,605.758713136729222538280
5339560433,12,159,159.410187667560321720600
5339560312,18,1,0
5339560314,18,235,203.247989276139410178900
5339560321,18,220,155.424932975871313662720
5339560322,18,328,406.495978552278820357800
5339560323,18,657,789.080428954423592487240
5339560324,18,877,741.257372654155495971060
5339560331,18,58,0
5339560332,18,362,203.247989276139410178900
5339560334,18,98,75.719839142091152802420
