id,x,y,date
0,139.796579381767,35.7559047699979,2022-12-01 00:07:54
0,139.796774127242,35.7559079334474,2022-12-01 00:08:06
0,139.79688910717,35.7559257824663,2022-12-01 00:08:12
5,139.798873368836,35.7534014826269,2022-12-01 02:36:06
5,139.799424144393,35.7532206815527,2022-12-01 02:36:36
5,139.799215252411,35.7531050559332,2022-12-01 02:37:00
5,139.799027879654,35.7530898868219,2022-12-01 02:37:12
5,139.798721507606,35.7530535878768,2022-12-01 02:37:24
5,139.798579636872,35.752983416852,2022-12-01 02:37:48
10,139.79400996415,35.7541549341622,2022-12-01 00:21:06
10,139.793885189111,35.754210231636,2022-12-01 00:21:24
10,139.793721350134,35.754280778054,2022-12-01 00:21:36
10,139.793356671631,35.753950143367,2022-12-01 00:23:06
10,139.7933454445,35.7537362340843,2022-12-01 00:23:42
15,139.794289721122,35.7517457092422,2022-12-01 00:06:06
15,139.79416219101,35.7518353829657,2022-12-01 00:06:24
15,139.793927389417,35.7517859797427,2022-12-01 00:06:30
20,139.798781660908,35.7540947734756,2022-12-01 01:41:48
20,139.798837405484,35.7543536819342,2022-12-01 01:42:12
20,139.798864452577,35.7544939536848,2022-12-01 01:42:24
20,139.7991266786,35.7546255733973,2022-12-01 01:43:48
20,139.799250069228,35.7546917589262,2022-12-01 01:44:18
20,139.799504545785,35.754818957235,2022-12-01 01:44:36
20,139.799745546268,35.7548079514597,2022-12-01 01:44:48
20,139.799833884115,35.7552376151702,2022-12-01 01:45:06
20,139.799907014417,35.7556209440843,2022-12-01 01:45:36
20,139.799946909218,35.7558271415807,2022-12-01 01:46:00
20,139.800048591056,35.7562086405984,2022-12-01 01:46:24
20,139.800173731714,35.7565065898588,2022-12-01 01:46:42
20,139.800402186779,35.7569888553985,2022-12-01 01:47:06
20,139.800569756002,35.7572348050699,2022-12-01 01:47:30
20,139.800748906103,35.7572759389087,2022-12-01 01:47:42
20,139.801765007466,35.7572901364155,2022-12-01 01:48:24
20,139.802212306414,35.7573637470991,2022-12-01 01:49:00
25,139.799854343127,35.7568560204946,2022-12-01 00:11:00
25,139.799937825696,35.7569721102589,2022-12-01 00:11:24
30,139.800258263942,35.752193746791,2022-12-01 00:12:12
30,139.800443953513,35.7522537867996,2022-12-01 00:12:42
30,139.800574833662,35.7526388800939,2022-12-01 00:13:18
30,139.800761943293,35.7527883754814,2022-12-01 00:13:36
30,139.801514993106,35.7525584096927,2022-12-01 00:14:36
30,139.801514993106,35.7525584096927,2022-12-01 00:14:54
30,139.801630873426,35.7528698636863,2022-12-01 00:15:24
30,139.801710100331,35.7531017589393,2022-12-01 00:15:42
30,139.80181851918,35.7533033349518,2022-12-01 00:16:06
30,139.801588726992,35.7531923334914,2022-12-01 00:16:24
30,139.801349381378,35.753262028493,2022-12-01 00:16:48
30,139.800816257061,35.7533654209357,2022-12-01 00:17:30
30,139.800974812978,35.7538377254348,2022-12-01 00:17:54
30,139.801259050043,35.7545888947191,2022-12-01 00:18:54
30,139.801491398895,35.7552248489518,2022-12-01 00:20:06
30,139.801625530221,35.7556277784402,2022-12-01 00:20:30
30,139.801813178308,35.756169480655,2022-12-01 00:21:30
30,139.801962004987,35.7566194403254,2022-12-01 00:22:00
30,139.802119367274,35.7570692635446,2022-12-01 00:22:48
30,139.802212306414,35.7573637470991,2022-12-01 00:23:18
35,139.798680012318,35.7562370608931,2022-12-01 00:43:00
35,139.798897503636,35.7564128917134,2022-12-01 00:43:24
35,139.799033780879,35.756787260421,2022-12-01 00:43:42
35,139.798902484699,35.7571500431011,2022-12-01 00:44:12
35,139.798821619379,35.7573410053907,2022-12-01 00:44:24
35,139.798512306941,35.7573753104495,2022-12-01 00:44:42
35,139.798152594343,35.75738536006,2022-12-01 00:44:54
35,139.79795022335,35.7574380988773,2022-12-01 00:45:12
35,139.797951280079,35.7576694213258,2022-12-01 00:45:36
40,139.799907014417,35.7556209440843,2022-12-01 05:24:30
40,139.799946909218,35.7558271415807,2022-12-01 05:24:48
40,139.800071101763,35.7562697432945,2022-12-01 05:25:12
40,139.80020183008,35.7565658246461,2022-12-01 05:25:30
40,139.800402186779,35.7569888553985,2022-12-01 05:25:54
40,139.800569756002,35.7572348050699,2022-12-01 05:26:18
40,139.8010941856,35.757308533825,2022-12-01 05:26:30
40,139.802124340978,35.7572559706432,2022-12-01 05:27:36
40,139.802212306414,35.7573637470991,2022-12-01 05:27:54
45,139.799850041323,35.7562838698312,2022-12-01 05:24:30
45,139.800121664532,35.7563930763621,2022-12-01 05:25:00
45,139.80020183008,35.7565658246461,2022-12-01 05:25:18
45,139.800402186779,35.7569888553985,2022-12-01 05:25:42
45,139.800569756002,35.7572348050699,2022-12-01 05:26:18
45,139.800748906103,35.7572759389087,2022-12-01 05:26:30
45,139.801765007466,35.7572901364155,2022-12-01 05:27:24
45,139.802212306414,35.7573637470991,2022-12-01 05:28:06
50,139.796969102229,35.7516369177061,2022-12-01 01:15:18
50,139.797261562997,35.7521102421826,2022-12-01 01:17:18
50,139.797357120726,35.7523431173418,2022-12-01 01:17:36
50,139.797467218121,35.7526347217772,2022-12-01 01:17:54
50,139.797598287097,35.7529771912637,2022-12-01 01:18:12
50,139.79798241421,35.7535171591337,2022-12-01 01:19:00
50,139.798148789676,35.7535557986867,2022-12-01 01:19:24
50,139.798378593883,35.7534658335147,2022-12-01 01:19:36
50,139.799325831638,35.7533440189293,2022-12-01 01:20:30
50,139.799520544897,35.7536932016406,2022-12-01 01:20:54
50,139.799895180154,35.7539026809559,2022-12-01 01:21:30
